Trial 0, Params: {'learning_rate': 0.0015289515889136956, 'depth': 3, 'colsample_bylevel': 0.5577333590408435, 'min_data_in_leaf': 46, 'l2_leaf_reg': 3.2346897960612346, 'grow_policy': 'Lossguide'}, Value: 0.20178539247962304
Trial 12, Params: {'learning_rate': 0.09981890060930815, 'depth': 7, 'colsample_bylevel': 0.9765724543709575, 'min_data_in_leaf': 31, 'l2_leaf_reg': 1.094760230186145, 'grow_policy': 'Lossguide'}, Value: 0.8096787682416473
Trial 13, Params: {'learning_rate': 0.09134424124103974, 'depth': 6, 'colsample_bylevel': 0.9888956681130447, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.0270628647632236, 'grow_policy': 'Lossguide'}, Value: 0.8090184626003492
Trial 14, Params: {'learning_rate': 0.06037208404489745, 'depth': 7, 'colsample_bylevel': 0.3938209620456251, 'min_data_in_leaf': 40, 'l2_leaf_reg': 2.117319833374469, 'grow_policy': 'Lossguide'}, Value: 0.7994731784002511
Trial 15, Params: {'learning_rate': 0.009015633946045272, 'depth': 8, 'colsample_bylevel': 0.7497314175408942, 'min_data_in_leaf': 26, 'l2_leaf_reg': 2.4155159523315755, 'grow_policy': 'Lossguide'}, Value: 0.5485368006873721
Trial 16, Params: {'learning_rate': 0.05464824107753877, 'depth': 5, 'colsample_bylevel': 0.4121923595645066, 'min_data_in_leaf': 31, 'l2_leaf_reg': 1.5121584955521388, 'grow_policy': 'Lossguide'}, Value: 0.7904088795787905
Trial 17, Params: {'learning_rate': 0.011743251204807422, 'depth': 7, 'colsample_bylevel': 0.917639826319322, 'min_data_in_leaf': 23, 'l2_leaf_reg': 1.0047339772962083, 'grow_policy': 'Lossguide'}, Value: 0.6018775246164869
Trial 18, Params: {'learning_rate': 0.056555297488515205, 'depth': 9, 'colsample_bylevel': 0.7462243588930899, 'min_data_in_leaf': 43, 'l2_leaf_reg': 2.621226123775595, 'grow_policy': 'Lossguide'}, Value: 0.807710928898846
Trial 19, Params: {'learning_rate': 0.007127864735884973, 'depth': 5, 'colsample_bylevel': 0.17971125765517526, 'min_data_in_leaf': 34, 'l2_leaf_reg': 4.31228356353465, 'grow_policy': 'Lossguide'}, Value: 0.4270927915316605
Trial 20, Params: {'learning_rate': 0.017621213732226422, 'depth': 6, 'colsample_bylevel': 0.45915922651958174, 'min_data_in_leaf': 7, 'l2_leaf_reg': 1.4040974231013128, 'grow_policy': 'Lossguide'}, Value: 0.6550551244572694
Trial 21, Params: {'learning_rate': 0.08615340571626698, 'depth': 6, 'colsample_bylevel': 0.9781605434056706, 'min_data_in_leaf': 37, 'l2_leaf_reg': 1.2416537533191374, 'grow_policy': 'Lossguide'}, Value: 0.8090561214387637
Trial 22, Params: {'learning_rate': 0.08848378997120672, 'depth': 7, 'colsample_bylevel': 0.911654176141268, 'min_data_in_leaf': 40, 'l2_leaf_reg': 1.9088495817764037, 'grow_policy': 'Lossguide'}, Value: 0.8102569769263658
Trial 23, Params: {'learning_rate': 0.04654006829960258, 'depth': 8, 'colsample_bylevel': 0.7842754444867791, 'min_data_in_leaf': 43, 'l2_leaf_reg': 1.9127852891352304, 'grow_policy': 'Lossguide'}, Value: 0.7980599665337472
Trial 24, Params: {'learning_rate': 0.07101284582255926, 'depth': 7, 'colsample_bylevel': 0.9148455091650609, 'min_data_in_leaf': 28, 'l2_leaf_reg': 1.856460746519233, 'grow_policy': 'Lossguide'}, Value: 0.8099958970614735
Trial 25, Params: {'learning_rate': 0.04322665411914896, 'depth': 9, 'colsample_bylevel': 0.8913043190131342, 'min_data_in_leaf': 28, 'l2_leaf_reg': 3.000521677355864, 'grow_policy': 'Lossguide'}, Value: 0.7961338177728747
Trial 26, Params: {'learning_rate': 0.07195213773772345, 'depth': 7, 'colsample_bylevel': 0.6801178953270982, 'min_data_in_leaf': 23, 'l2_leaf_reg': 1.936725150135496, 'grow_policy': 'Lossguide'}, Value: 0.8069114678374042
Trial 27, Params: {'learning_rate': 0.020988293465547616, 'depth': 8, 'colsample_bylevel': 0.896143472771367, 'min_data_in_leaf': 41, 'l2_leaf_reg': 4.9193079104430915, 'grow_policy': 'Lossguide'}, Value: 0.7015698855828243
Trial 28, Params: {'learning_rate': 0.06940197153912663, 'depth': 5, 'colsample_bylevel': 0.8025636288671024, 'min_data_in_leaf': 30, 'l2_leaf_reg': 2.474581439564794, 'grow_policy': 'Lossguide'}, Value: 0.809650337521675
Trial 29, Params: {'learning_rate': 0.04012665450154362, 'depth': 6, 'colsample_bylevel': 0.5287622988462543, 'min_data_in_leaf': 23, 'l2_leaf_reg': 3.5337165617096766, 'grow_policy': 'Lossguide'}, Value: 0.7817776722522586
Trial 0, Params: {'learning_rate': 0.0804566466056103, 'depth': 12, 'colsample_bylevel': 0.5777531332178067, 'min_data_in_leaf': 37, 'l2_leaf_reg': 19.750102341800012, 'grow_policy': 'Lossguide'}, Value: 0.7981317876737392
Trial 0, Params: {'learning_rate': 0.01349712184889918, 'depth': 10, 'colsample_bylevel': 0.7602200169720746, 'min_data_in_leaf': 31, 'l2_leaf_reg': 5.37812050725931, 'grow_policy': 'Lossguide'}, Value: 0.6060940092977463
Trial 1, Params: {'learning_rate': 0.01659297863207439, 'depth': 7, 'colsample_bylevel': 0.3295631943271757, 'min_data_in_leaf': 17, 'l2_leaf_reg': 3.769898657653793, 'grow_policy': 'Lossguide'}, Value: 0.6136771399250559
Trial 2, Params: {'learning_rate': 0.01585718507648838, 'depth': 4, 'colsample_bylevel': 0.013888547050235503, 'min_data_in_leaf': 56, 'l2_leaf_reg': 1.7865536751382263, 'grow_policy': 'Depthwise'}, Value: 0.14538583831351595
Trial 3, Params: {'learning_rate': 0.022975470503423787, 'depth': 6, 'colsample_bylevel': 0.22357843317306877, 'min_data_in_leaf': 61, 'l2_leaf_reg': 8.044581527379863, 'grow_policy': 'Lossguide'}, Value: 0.6658688795998161
Trial 4, Params: {'learning_rate': 0.07334098268487067, 'depth': 6, 'colsample_bylevel': 0.425820881090761, 'min_data_in_leaf': 48, 'l2_leaf_reg': 8.817184095140751, 'grow_policy': 'Depthwise'}, Value: 0.7885218965141814
Trial 5, Params: {'learning_rate': 0.018808569243934023, 'depth': 11, 'colsample_bylevel': 0.48410567838548796, 'min_data_in_leaf': 34, 'l2_leaf_reg': 2.57007078076347, 'grow_policy': 'Lossguide'}, Value: 0.6533503443752708
Trial 6, Params: {'learning_rate': 0.0045776744243761274, 'depth': 8, 'colsample_bylevel': 0.46484062210609595, 'min_data_in_leaf': 7, 'l2_leaf_reg': 16.46633168958722, 'grow_policy': 'SymmetricTree'}, Value: 0.4423870418482919
Trial 7, Params: {'learning_rate': 0.0012640924896752369, 'depth': 11, 'colsample_bylevel': 0.778516248528565, 'min_data_in_leaf': 36, 'l2_leaf_reg': 2.806377943998583, 'grow_policy': 'Lossguide'}, Value: 0.29588915316763764
Trial 8, Params: {'learning_rate': 0.028524102948978895, 'depth': 10, 'colsample_bylevel': 0.8803538705974141, 'min_data_in_leaf': 76, 'l2_leaf_reg': 1.173038427298935, 'grow_policy': 'SymmetricTree'}, Value: 0.6994122335274525
Trial 9, Params: {'learning_rate': 0.006753609582288505, 'depth': 12, 'colsample_bylevel': 0.3999161566004864, 'min_data_in_leaf': 50, 'l2_leaf_reg': 1.5054489254530528, 'grow_policy': 'Lossguide'}, Value: 0.4743073994358137
Trial 10, Params: {'learning_rate': 0.08196130256724897, 'depth': 3, 'colsample_bylevel': 0.6551988928713137, 'min_data_in_leaf': 95, 'l2_leaf_reg': 17.813655915538753, 'grow_policy': 'Depthwise'}, Value: 0.7654169730817311
Trial 11, Params: {'learning_rate': 0.09889356960464078, 'depth': 3, 'colsample_bylevel': 0.6343079182170712, 'min_data_in_leaf': 86, 'l2_leaf_reg': 19.72327573330274, 'grow_policy': 'Depthwise'}, Value: 0.7708708541220712
Trial 12, Params: {'learning_rate': 0.09774076612287198, 'depth': 5, 'colsample_bylevel': 0.6337408535825487, 'min_data_in_leaf': 100, 'l2_leaf_reg': 9.943609906940177, 'grow_policy': 'Depthwise'}, Value: 0.8026862275385487
Trial 13, Params: {'learning_rate': 0.04570365379460103, 'depth': 5, 'colsample_bylevel': 0.9983499418324042, 'min_data_in_leaf': 66, 'l2_leaf_reg': 8.724463077820058, 'grow_policy': 'Depthwise'}, Value: 0.7810217063411112
Trial 14, Params: {'learning_rate': 0.04831348988462934, 'depth': 8, 'colsample_bylevel': 0.6130719280785338, 'min_data_in_leaf': 44, 'l2_leaf_reg': 10.227939948354186, 'grow_policy': 'Depthwise'}, Value: 0.7746733459110716
Trial 15, Params: {'learning_rate': 0.04959053170649244, 'depth': 6, 'colsample_bylevel': 0.23907651656836115, 'min_data_in_leaf': 98, 'l2_leaf_reg': 5.490507069220932, 'grow_policy': 'Depthwise'}, Value: 0.767568830758221
Trial 16, Params: {'learning_rate': 0.0035270504747045303, 'depth': 5, 'colsample_bylevel': 0.5512635047754322, 'min_data_in_leaf': 72, 'l2_leaf_reg': 12.011208982059712, 'grow_policy': 'Depthwise'}, Value: 0.3874220303660915
Trial 17, Params: {'learning_rate': 0.06939038372628087, 'depth': 7, 'colsample_bylevel': 0.08746798605652017, 'min_data_in_leaf': 81, 'l2_leaf_reg': 6.529081766931358, 'grow_policy': 'Depthwise'}, Value: 0.7325769910744447
Trial 18, Params: {'learning_rate': 0.03217346682304325, 'depth': 5, 'colsample_bylevel': 0.36405109985839934, 'min_data_in_leaf': 19, 'l2_leaf_reg': 12.938231051482834, 'grow_policy': 'SymmetricTree'}, Value: 0.7070338139851655
Trial 19, Params: {'learning_rate': 0.002242729543525555, 'depth': 9, 'colsample_bylevel': 0.727454618203265, 'min_data_in_leaf': 49, 'l2_leaf_reg': 4.302638701568306, 'grow_policy': 'Depthwise'}, Value: 0.4002995909779331
Trial 0, Params: {'learning_rate': 0.0018338478868233819, 'depth': 4, 'colsample_bylevel': 0.9012971291703155, 'min_data_in_leaf': 29, 'l2_leaf_reg': 1.963964866012518, 'grow_policy': 'SymmetricTree'}, Value: 0.31205822494317215
Trial 1, Params: {'learning_rate': 0.013624113414059464, 'depth': 10, 'colsample_bylevel': 0.2504854384862025, 'min_data_in_leaf': 31, 'l2_leaf_reg': 4.645685619189801, 'grow_policy': 'Depthwise'}, Value: 0.6420773189518746
Trial 2, Params: {'learning_rate': 0.058320071594901685, 'depth': 9, 'colsample_bylevel': 0.7253459576559828, 'min_data_in_leaf': 86, 'l2_leaf_reg': 6.616443595390123, 'grow_policy': 'SymmetricTree'}, Value: 0.7693939856239067
Trial 3, Params: {'learning_rate': 0.03664004077453207, 'depth': 5, 'colsample_bylevel': 0.5114021466360206, 'min_data_in_leaf': 93, 'l2_leaf_reg': 1.948331140339076, 'grow_policy': 'Depthwise'}, Value: 0.7566158177700351
Trial 4, Params: {'learning_rate': 0.002221705584190345, 'depth': 3, 'colsample_bylevel': 0.22008318212850753, 'min_data_in_leaf': 17, 'l2_leaf_reg': 7.323672600673952, 'grow_policy': 'Lossguide'}, Value: 0.16962454395420717
Trial 5, Params: {'learning_rate': 0.003845047939233894, 'depth': 8, 'colsample_bylevel': 0.6826357554765758, 'min_data_in_leaf': 83, 'l2_leaf_reg': 3.0027090484354675, 'grow_policy': 'Lossguide'}, Value: 0.4290044261889239
Trial 6, Params: {'learning_rate': 0.023314445279008358, 'depth': 10, 'colsample_bylevel': 0.4646660835481599, 'min_data_in_leaf': 77, 'l2_leaf_reg': 3.4383434050848494, 'grow_policy': 'Depthwise'}, Value: 0.7415874981586752
Trial 7, Params: {'learning_rate': 0.006253854978760643, 'depth': 12, 'colsample_bylevel': 0.8725978026734036, 'min_data_in_leaf': 23, 'l2_leaf_reg': 10.042392047717419, 'grow_policy': 'Lossguide'}, Value: 0.48192758646101364
Trial 8, Params: {'learning_rate': 0.022367470438849194, 'depth': 7, 'colsample_bylevel': 0.0839092271201667, 'min_data_in_leaf': 85, 'l2_leaf_reg': 2.460790938624677, 'grow_policy': 'SymmetricTree'}, Value: 0.6475820018234748
Trial 9, Params: {'learning_rate': 0.016887862237136772, 'depth': 5, 'colsample_bylevel': 0.8503347525355301, 'min_data_in_leaf': 85, 'l2_leaf_reg': 1.6965881755325238, 'grow_policy': 'Depthwise'}, Value: 0.6519152799111837
Trial 10, Params: {'learning_rate': 0.094872112956385, 'depth': 8, 'colsample_bylevel': 0.6499661541949905, 'min_data_in_leaf': 60, 'l2_leaf_reg': 19.821420126366505, 'grow_policy': 'SymmetricTree'}, Value: 0.8058581930230938
Trial 11, Params: {'learning_rate': 0.09524982248821774, 'depth': 9, 'colsample_bylevel': 0.6207230759498433, 'min_data_in_leaf': 59, 'l2_leaf_reg': 19.203692271058234, 'grow_policy': 'SymmetricTree'}, Value: 0.7862027259095637
Trial 12, Params: {'learning_rate': 0.08640642558844396, 'depth': 7, 'colsample_bylevel': 0.5370636142892912, 'min_data_in_leaf': 59, 'l2_leaf_reg': 19.961247766483773, 'grow_policy': 'SymmetricTree'}, Value: 0.814532709133102
Trial 13, Params: {'learning_rate': 0.09676891025270257, 'depth': 7, 'colsample_bylevel': 0.4292667646870135, 'min_data_in_leaf': 55, 'l2_leaf_reg': 19.539212002548943, 'grow_policy': 'SymmetricTree'}, Value: 0.8160297781813515
Trial 14, Params: {'learning_rate': 0.04892708036359169, 'depth': 6, 'colsample_bylevel': 0.40649497647759353, 'min_data_in_leaf': 43, 'l2_leaf_reg': 13.493800970102694, 'grow_policy': 'SymmetricTree'}, Value: 0.779667446133036
Trial 15, Params: {'learning_rate': 0.008049394481741896, 'depth': 6, 'colsample_bylevel': 0.32188367584465194, 'min_data_in_leaf': 1, 'l2_leaf_reg': 1.050808523245615, 'grow_policy': 'SymmetricTree'}, Value: 0.5185715504773638
Trial 16, Params: {'learning_rate': 0.039958392605379776, 'depth': 7, 'colsample_bylevel': 0.5383547400487335, 'min_data_in_leaf': 67, 'l2_leaf_reg': 12.14289664461784, 'grow_policy': 'SymmetricTree'}, Value: 0.7627212855372754
Trial 17, Params: {'learning_rate': 0.09928101982911121, 'depth': 12, 'colsample_bylevel': 0.08377984785604992, 'min_data_in_leaf': 45, 'l2_leaf_reg': 14.082624568449093, 'grow_policy': 'SymmetricTree'}, Value: 0.6204382584280969
Trial 18, Params: {'learning_rate': 0.0010965302903097691, 'depth': 6, 'colsample_bylevel': 0.3267542297844175, 'min_data_in_leaf': 54, 'l2_leaf_reg': 8.059691191579608, 'grow_policy': 'SymmetricTree'}, Value: 0.22752541777861027
Trial 19, Params: {'learning_rate': 0.060992104451539866, 'depth': 9, 'colsample_bylevel': 0.7822414319649806, 'min_data_in_leaf': 66, 'l2_leaf_reg': 5.698733812054799, 'grow_policy': 'Lossguide'}, Value: 0.7980164515764075
Trial 20, Params: {'learning_rate': 0.029482721677327933, 'depth': 3, 'colsample_bylevel': 0.5779161021071798, 'min_data_in_leaf': 40, 'l2_leaf_reg': 17.83947892522629, 'grow_policy': 'SymmetricTree'}, Value: 0.6062816878836612
Trial 21, Params: {'learning_rate': 0.07471953191511603, 'depth': 8, 'colsample_bylevel': 0.41683236685921216, 'min_data_in_leaf': 69, 'l2_leaf_reg': 19.64668520786992, 'grow_policy': 'SymmetricTree'}, Value: 0.7915529724552239
Trial 22, Params: {'learning_rate': 0.07302587436563927, 'depth': 7, 'colsample_bylevel': 0.6474533842909727, 'min_data_in_leaf': 56, 'l2_leaf_reg': 10.60314313023446, 'grow_policy': 'SymmetricTree'}, Value: 0.8107849858080242
Trial 23, Params: {'learning_rate': 0.055898009446384615, 'depth': 7, 'colsample_bylevel': 0.7553516854385195, 'min_data_in_leaf': 51, 'l2_leaf_reg': 10.457304510128766, 'grow_policy': 'SymmetricTree'}, Value: 0.7983493928966099
Trial 24, Params: {'learning_rate': 0.036250970815342044, 'depth': 5, 'colsample_bylevel': 0.45561010806521907, 'min_data_in_leaf': 39, 'l2_leaf_reg': 15.987910149432658, 'grow_policy': 'SymmetricTree'}, Value: 0.7283137165265854
Trial 25, Params: {'learning_rate': 0.08131367337334922, 'depth': 6, 'colsample_bylevel': 0.9855190776407853, 'min_data_in_leaf': 74, 'l2_leaf_reg': 10.213958832458907, 'grow_policy': 'SymmetricTree'}, Value: 0.8250212812537416
Trial 26, Params: {'learning_rate': 0.012326122969669175, 'depth': 6, 'colsample_bylevel': 0.18495926902596543, 'min_data_in_leaf': 74, 'l2_leaf_reg': 8.848183375463886, 'grow_policy': 'SymmetricTree'}, Value: 0.5449648290301699
Trial 27, Params: {'learning_rate': 0.04815784988731024, 'depth': 5, 'colsample_bylevel': 0.35026191031285075, 'min_data_in_leaf': 76, 'l2_leaf_reg': 14.183811541690778, 'grow_policy': 'SymmetricTree'}, Value: 0.7619442238971935
Trial 28, Params: {'learning_rate': 0.02228165538070025, 'depth': 4, 'colsample_bylevel': 0.9599514382698857, 'min_data_in_leaf': 95, 'l2_leaf_reg': 12.019837067297537, 'grow_policy': 'Depthwise'}, Value: 0.6532541723093532
Trial 29, Params: {'learning_rate': 0.07147962857806624, 'depth': 4, 'colsample_bylevel': 0.57199442222831, 'min_data_in_leaf': 62, 'l2_leaf_reg': 16.115024218363498, 'grow_policy': 'Lossguide'}, Value: 0.7840730363874677
Trial 30, Params: {'learning_rate': 0.02884638500610716, 'depth': 10, 'colsample_bylevel': 0.9701818075598649, 'min_data_in_leaf': 48, 'l2_leaf_reg': 5.949634883940341, 'grow_policy': 'SymmetricTree'}, Value: 0.6880548381656352
Trial 31, Params: {'learning_rate': 0.0752354625630243, 'depth': 7, 'colsample_bylevel': 0.5009202554822135, 'min_data_in_leaf': 51, 'l2_leaf_reg': 10.183312571045509, 'grow_policy': 'SymmetricTree'}, Value: 0.812003501173493
Trial 32, Params: {'learning_rate': 0.09859241711062487, 'depth': 6, 'colsample_bylevel': 0.8074446663738293, 'min_data_in_leaf': 37, 'l2_leaf_reg': 4.7483290959492646, 'grow_policy': 'SymmetricTree'}, Value: 0.8280579283798726
Trial 33, Params: {'learning_rate': 0.09966350211048373, 'depth': 6, 'colsample_bylevel': 0.8123896401483792, 'min_data_in_leaf': 36, 'l2_leaf_reg': 4.327467555973681, 'grow_policy': 'SymmetricTree'}, Value: 0.8311007339707256
Trial 34, Params: {'learning_rate': 0.048797622132648745, 'depth': 6, 'colsample_bylevel': 0.81228489809988, 'min_data_in_leaf': 33, 'l2_leaf_reg': 4.666076102261198, 'grow_policy': 'SymmetricTree'}, Value: 0.7964144553956368
Trial 35, Params: {'learning_rate': 0.06061510548495087, 'depth': 5, 'colsample_bylevel': 0.9225238650840162, 'min_data_in_leaf': 27, 'l2_leaf_reg': 4.280522585867512, 'grow_policy': 'Depthwise'}, Value: 0.7903395737623281
Trial 36, Params: {'learning_rate': 0.09935035821127439, 'depth': 8, 'colsample_bylevel': 0.7144734230219711, 'min_data_in_leaf': 13, 'l2_leaf_reg': 5.092339669249904, 'grow_policy': 'SymmetricTree'}, Value: 0.8004380975316344
Trial 37, Params: {'learning_rate': 0.0407737394507984, 'depth': 6, 'colsample_bylevel': 0.900143185444189, 'min_data_in_leaf': 37, 'l2_leaf_reg': 3.7425436700966537, 'grow_policy': 'SymmetricTree'}, Value: 0.7813395721329378
Trial 38, Params: {'learning_rate': 0.0033553679216689336, 'depth': 4, 'colsample_bylevel': 0.9978099701762537, 'min_data_in_leaf': 25, 'l2_leaf_reg': 7.412157310238312, 'grow_policy': 'Lossguide'}, Value: 0.37737819944640577
Trial 39, Params: {'learning_rate': 0.061644980948000264, 'depth': 5, 'colsample_bylevel': 0.8146446680728383, 'min_data_in_leaf': 32, 'l2_leaf_reg': 6.6064375079781446, 'grow_policy': 'Depthwise'}, Value: 0.7918463349518753
Trial 40, Params: {'learning_rate': 0.03223378492254334, 'depth': 6, 'colsample_bylevel': 0.9147927414596151, 'min_data_in_leaf': 14, 'l2_leaf_reg': 2.8823579267479986, 'grow_policy': 'SymmetricTree'}, Value: 0.754613956709877
Trial 41, Params: {'learning_rate': 0.07939386659757879, 'depth': 7, 'colsample_bylevel': 0.7181836777832958, 'min_data_in_leaf': 46, 'l2_leaf_reg': 4.104226907360918, 'grow_policy': 'SymmetricTree'}, Value: 0.8164214315941527
Trial 42, Params: {'learning_rate': 0.07883286382307333, 'depth': 7, 'colsample_bylevel': 0.8559919780265861, 'min_data_in_leaf': 21, 'l2_leaf_reg': 2.3730044668865675, 'grow_policy': 'SymmetricTree'}, Value: 0.8172129540178762
Trial 43, Params: {'learning_rate': 0.07522540437697449, 'depth': 8, 'colsample_bylevel': 0.8513090132946772, 'min_data_in_leaf': 100, 'l2_leaf_reg': 2.3344862456064277, 'grow_policy': 'SymmetricTree'}, Value: 0.7965961159041932
Trial 44, Params: {'learning_rate': 0.05174660473429161, 'depth': 5, 'colsample_bylevel': 0.7166940133681875, 'min_data_in_leaf': 21, 'l2_leaf_reg': 1.6735563112761764, 'grow_policy': 'SymmetricTree'}, Value: 0.7906368064106065
