Trial 0, Params: {'learning_rate': 0.001139778634059735, 'depth': 6, 'colsample_bylevel': 0.27859587653777873, 'min_data_in_leaf': 92, 'l2_leaf_reg': 1.960072468996326, 'grow_policy': 'Depthwise'}, Value: 0.2120176037740107
Trial 7, Params: {'learning_rate': 0.015900986813200128, 'depth': 3, 'colsample_bylevel': 0.41278003894926346, 'min_data_in_leaf': 48, 'l2_leaf_reg': 8.58132350948482, 'grow_policy': 'SymmetricTree'}, Value: 0.26281396609985147
Trial 8, Params: {'learning_rate': 0.001802733473996648, 'depth': 3, 'colsample_bylevel': 0.7049319570704206, 'min_data_in_leaf': 60, 'l2_leaf_reg': 14.586463717651128, 'grow_policy': 'SymmetricTree'}, Value: 0.06266103205064519
Trial 9, Params: {'learning_rate': 0.08086752723242235, 'depth': 8, 'colsample_bylevel': 0.5981184494844761, 'min_data_in_leaf': 5, 'l2_leaf_reg': 11.40474822324495, 'grow_policy': 'SymmetricTree'}, Value: 0.6368534077982649
Trial 10, Params: {'learning_rate': 0.006283472030099498, 'depth': 10, 'colsample_bylevel': 0.986333238367474, 'min_data_in_leaf': 3, 'l2_leaf_reg': 3.624273522943223, 'grow_policy': 'SymmetricTree'}, Value: 0.30901401414988927
Trial 11, Params: {'learning_rate': 0.08736907382219959, 'depth': 8, 'colsample_bylevel': 0.8258745379252849, 'min_data_in_leaf': 26, 'l2_leaf_reg': 18.925085955162945, 'grow_policy': 'Depthwise'}, Value: 0.6642208949228093
Trial 12, Params: {'learning_rate': 0.009136924842870804, 'depth': 8, 'colsample_bylevel': 0.84139886739983, 'min_data_in_leaf': 25, 'l2_leaf_reg': 17.83254508195133, 'grow_policy': 'Depthwise'}, Value: 0.34180217231862187
Trial 13, Params: {'learning_rate': 0.02790668265246998, 'depth': 9, 'colsample_bylevel': 0.812540355907033, 'min_data_in_leaf': 2, 'l2_leaf_reg': 10.516182695219719, 'grow_policy': 'Depthwise'}, Value: 0.4998298026997764
Trial 14, Params: {'learning_rate': 0.05263948840839436, 'depth': 7, 'colsample_bylevel': 0.4111426325659914, 'min_data_in_leaf': 29, 'l2_leaf_reg': 2.6260512142725836, 'grow_policy': 'SymmetricTree'}, Value: 0.586000954368707
Trial 15, Params: {'learning_rate': 0.004379704826323018, 'depth': 8, 'colsample_bylevel': 0.9962468658061467, 'min_data_in_leaf': 14, 'l2_leaf_reg': 18.941499482195553, 'grow_policy': 'Depthwise'}, Value: 0.2205048837260442
Trial 16, Params: {'learning_rate': 0.01679075821661368, 'depth': 6, 'colsample_bylevel': 0.7816206297932271, 'min_data_in_leaf': 32, 'l2_leaf_reg': 11.66315466433654, 'grow_policy': 'Depthwise'}, Value: 0.414768487795775
Trial 17, Params: {'learning_rate': 0.0815883099073244, 'depth': 10, 'colsample_bylevel': 0.4521778354906674, 'min_data_in_leaf': 16, 'l2_leaf_reg': 7.003776269981249, 'grow_policy': 'SymmetricTree'}, Value: 0.6141017811881302
Trial 18, Params: {'learning_rate': 0.03137895949603641, 'depth': 8, 'colsample_bylevel': 0.8910308391647579, 'min_data_in_leaf': 10, 'l2_leaf_reg': 19.537878340091883, 'grow_policy': 'SymmetricTree'}, Value: 0.4816226313659723
Trial 19, Params: {'learning_rate': 0.017494982511016447, 'depth': 9, 'colsample_bylevel': 0.6974692338098695, 'min_data_in_leaf': 36, 'l2_leaf_reg': 11.942114735476823, 'grow_policy': 'Depthwise'}, Value: 0.4408925303219936
Trial 20, Params: {'learning_rate': 0.0011178076288567726, 'depth': 6, 'colsample_bylevel': 0.7141566131356318, 'min_data_in_leaf': 100, 'l2_leaf_reg': 2.457710176228731, 'grow_policy': 'SymmetricTree'}, Value: 0.08250335910257074
Trial 21, Params: {'learning_rate': 0.06509898312047883, 'depth': 10, 'colsample_bylevel': 0.4130735844892004, 'min_data_in_leaf': 21, 'l2_leaf_reg': 6.873254773488274, 'grow_policy': 'SymmetricTree'}, Value: 0.5839483496252007
Trial 22, Params: {'learning_rate': 0.09499559837626637, 'depth': 9, 'colsample_bylevel': 0.48063451293544346, 'min_data_in_leaf': 10, 'l2_leaf_reg': 8.24861794326479, 'grow_policy': 'SymmetricTree'}, Value: 0.6505389837528293
Trial 23, Params: {'learning_rate': 0.09843026429874029, 'depth': 9, 'colsample_bylevel': 0.542728472389235, 'min_data_in_leaf': 7, 'l2_leaf_reg': 1.065594533234192, 'grow_policy': 'SymmetricTree'}, Value: 0.6850981515850865
Trial 24, Params: {'learning_rate': 0.04509431356571294, 'depth': 9, 'colsample_bylevel': 0.3196567677854629, 'min_data_in_leaf': 23, 'l2_leaf_reg': 1.2900409831976607, 'grow_policy': 'SymmetricTree'}, Value: 0.5785328136050467
Trial 25, Params: {'learning_rate': 0.09402886554098218, 'depth': 9, 'colsample_bylevel': 0.521570498592052, 'min_data_in_leaf': 11, 'l2_leaf_reg': 1.0936469995494937, 'grow_policy': 'Depthwise'}, Value: 0.6725882191398874
Trial 26, Params: {'learning_rate': 0.05955775478472662, 'depth': 7, 'colsample_bylevel': 0.5102416063066724, 'min_data_in_leaf': 39, 'l2_leaf_reg': 1.013924372023282, 'grow_policy': 'Depthwise'}, Value: 0.6284214860656541
Trial 27, Params: {'learning_rate': 0.03327798732686741, 'depth': 9, 'colsample_bylevel': 0.5364995515653466, 'min_data_in_leaf': 20, 'l2_leaf_reg': 1.076218009069089, 'grow_policy': 'Depthwise'}, Value: 0.5651674758487999
Trial 28, Params: {'learning_rate': 0.021517047315430412, 'depth': 8, 'colsample_bylevel': 0.6696198853586037, 'min_data_in_leaf': 9, 'l2_leaf_reg': 2.0768657785427207, 'grow_policy': 'Depthwise'}, Value: 0.48816960625739825
Trial 29, Params: {'learning_rate': 0.06823001921956241, 'depth': 10, 'colsample_bylevel': 0.9069078013115374, 'min_data_in_leaf': 30, 'l2_leaf_reg': 5.057629151208005, 'grow_policy': 'Lossguide'}, Value: 0.6082519637746184
Trial 30, Params: {'learning_rate': 0.010446923772243842, 'depth': 9, 'colsample_bylevel': 0.35855500204884905, 'min_data_in_leaf': 16, 'l2_leaf_reg': 3.2843512470824114, 'grow_policy': 'Depthwise'}, Value: 0.3670313561960218
Trial 31, Params: {'learning_rate': 0.09787501392453028, 'depth': 9, 'colsample_bylevel': 0.47663465905373076, 'min_data_in_leaf': 9, 'l2_leaf_reg': 1.508956361540939, 'grow_policy': 'Depthwise'}, Value: 0.6794479597746259
Trial 32, Params: {'learning_rate': 0.08995305107216293, 'depth': 8, 'colsample_bylevel': 0.5638572233623645, 'min_data_in_leaf': 2, 'l2_leaf_reg': 1.3095732603840957, 'grow_policy': 'Depthwise'}, Value: 0.67072157739244
Trial 33, Params: {'learning_rate': 0.04167645158340994, 'depth': 9, 'colsample_bylevel': 0.5577186781328154, 'min_data_in_leaf': 2, 'l2_leaf_reg': 1.3555567202547096, 'grow_policy': 'Depthwise'}, Value: 0.5899678946084
Trial 34, Params: {'learning_rate': 0.07004857559287901, 'depth': 10, 'colsample_bylevel': 0.6016563807150735, 'min_data_in_leaf': 74, 'l2_leaf_reg': 1.2359284228226763, 'grow_policy': 'Depthwise'}, Value: 0.6776865100666782
Trial 35, Params: {'learning_rate': 0.046364949036010274, 'depth': 10, 'colsample_bylevel': 0.6360898690307152, 'min_data_in_leaf': 71, 'l2_leaf_reg': 1.6710177010241156, 'grow_policy': 'Depthwise'}, Value: 0.6207399067981418
Trial 36, Params: {'learning_rate': 0.06748944551673981, 'depth': 10, 'colsample_bylevel': 0.205660589430201, 'min_data_in_leaf': 72, 'l2_leaf_reg': 1.1575449373155076, 'grow_policy': 'Lossguide'}, Value: 0.5439853725434952
Trial 37, Params: {'learning_rate': 0.09352006258956401, 'depth': 10, 'colsample_bylevel': 0.4679864073155166, 'min_data_in_leaf': 82, 'l2_leaf_reg': 1.9577472158340374, 'grow_policy': 'Depthwise'}, Value: 0.7016518734418329
Trial 38, Params: {'learning_rate': 0.055919837844299894, 'depth': 10, 'colsample_bylevel': 0.35203405611778843, 'min_data_in_leaf': 85, 'l2_leaf_reg': 1.835276829545324, 'grow_policy': 'Depthwise'}, Value: 0.6249988619587148
Trial 39, Params: {'learning_rate': 0.03735348324231466, 'depth': 10, 'colsample_bylevel': 0.45224473865228776, 'min_data_in_leaf': 78, 'l2_leaf_reg': 1.5029323929741367, 'grow_policy': 'Lossguide'}, Value: 0.4990136397241824
Trial 40, Params: {'learning_rate': 0.06792809906051117, 'depth': 5, 'colsample_bylevel': 0.5918793090479353, 'min_data_in_leaf': 90, 'l2_leaf_reg': 2.1307611477234327, 'grow_policy': 'Depthwise'}, Value: 0.5950335770908419
Trial 41, Params: {'learning_rate': 0.09855199573583727, 'depth': 9, 'colsample_bylevel': 0.5220205719160655, 'min_data_in_leaf': 62, 'l2_leaf_reg': 1.1538862504834906, 'grow_policy': 'Depthwise'}, Value: 0.7053109887054795
Trial 42, Params: {'learning_rate': 0.0999031637785828, 'depth': 9, 'colsample_bylevel': 0.6510500841306683, 'min_data_in_leaf': 60, 'l2_leaf_reg': 1.439528364552419, 'grow_policy': 'Depthwise'}, Value: 0.7240141090027468
Trial 43, Params: {'learning_rate': 0.09371844746860618, 'depth': 9, 'colsample_bylevel': 0.7551872956631709, 'min_data_in_leaf': 57, 'l2_leaf_reg': 1.5463549149726006, 'grow_policy': 'Depthwise'}, Value: 0.7044271890523053
Trial 44, Params: {'learning_rate': 0.05163508469966604, 'depth': 9, 'colsample_bylevel': 0.7695102130087783, 'min_data_in_leaf': 54, 'l2_leaf_reg': 1.890305083899594, 'grow_policy': 'Depthwise'}, Value: 0.6360806748051077
Trial 45, Params: {'learning_rate': 0.0776638569375047, 'depth': 8, 'colsample_bylevel': 0.6514363434411075, 'min_data_in_leaf': 63, 'l2_leaf_reg': 2.4316272485021755, 'grow_policy': 'Depthwise'}, Value: 0.6770948035019583
Trial 46, Params: {'learning_rate': 0.09871724107907225, 'depth': 7, 'colsample_bylevel': 0.7505800553123478, 'min_data_in_leaf': 45, 'l2_leaf_reg': 1.5701588433841014, 'grow_policy': 'Lossguide'}, Value: 0.6800011969343627
Trial 47, Params: {'learning_rate': 0.07707414973256745, 'depth': 9, 'colsample_bylevel': 0.046337182989677206, 'min_data_in_leaf': 59, 'l2_leaf_reg': 1.3654894706367762, 'grow_policy': 'Depthwise'}, Value: 0.463341272291378
Trial 48, Params: {'learning_rate': 0.0036898156729511735, 'depth': 4, 'colsample_bylevel': 0.729922081651837, 'min_data_in_leaf': 50, 'l2_leaf_reg': 2.892073050569212, 'grow_policy': 'Depthwise'}, Value: 0.18923956752313284
Trial 49, Params: {'learning_rate': 0.05669348056464752, 'depth': 8, 'colsample_bylevel': 0.6519813931784282, 'min_data_in_leaf': 65, 'l2_leaf_reg': 1.918894442796324, 'grow_policy': 'Depthwise'}, Value: 0.6355008054648771
Trial 50, Params: {'learning_rate': 0.023690122018697458, 'depth': 10, 'colsample_bylevel': 0.12716603953318306, 'min_data_in_leaf': 56, 'l2_leaf_reg': 1.1489553597306101, 'grow_policy': 'SymmetricTree'}, Value: 0.4533547158596334
Trial 51, Params: {'learning_rate': 0.08236132328952678, 'depth': 5, 'colsample_bylevel': 0.7794008371753427, 'min_data_in_leaf': 44, 'l2_leaf_reg': 1.6749109959324582, 'grow_policy': 'Lossguide'}, Value: 0.6375761422721034
Trial 52, Params: {'learning_rate': 0.09545979996782744, 'depth': 7, 'colsample_bylevel': 0.7483212475332244, 'min_data_in_leaf': 67, 'l2_leaf_reg': 1.395384775889504, 'grow_policy': 'Lossguide'}, Value: 0.6744161278305117
Trial 53, Params: {'learning_rate': 0.07783147547204552, 'depth': 7, 'colsample_bylevel': 0.8757313027810922, 'min_data_in_leaf': 52, 'l2_leaf_reg': 1.6031566500463115, 'grow_policy': 'Lossguide'}, Value: 0.6424777324441007
Trial 54, Params: {'learning_rate': 0.04869590729109087, 'depth': 9, 'colsample_bylevel': 0.5872817162110935, 'min_data_in_leaf': 78, 'l2_leaf_reg': 2.104641893763804, 'grow_policy': 'Lossguide'}, Value: 0.5498888770053203
Trial 55, Params: {'learning_rate': 0.09768556601429829, 'depth': 6, 'colsample_bylevel': 0.6905470301669343, 'min_data_in_leaf': 96, 'l2_leaf_reg': 1.0083340266259253, 'grow_policy': 'Lossguide'}, Value: 0.6820568605963693
Trial 56, Params: {'learning_rate': 0.06056197086701628, 'depth': 6, 'colsample_bylevel': 0.6849206029179148, 'min_data_in_leaf': 99, 'l2_leaf_reg': 1.0326013665866154, 'grow_policy': 'SymmetricTree'}, Value: 0.6055336574100604
Trial 57, Params: {'learning_rate': 0.07744990799352758, 'depth': 6, 'colsample_bylevel': 0.6192969107872887, 'min_data_in_leaf': 97, 'l2_leaf_reg': 1.1509855375314673, 'grow_policy': 'Depthwise'}, Value: 0.6520002570797045
Trial 58, Params: {'learning_rate': 0.04099341142782244, 'depth': 8, 'colsample_bylevel': 0.4273966872129667, 'min_data_in_leaf': 88, 'l2_leaf_reg': 1.2290845946570814, 'grow_policy': 'Lossguide'}, Value: 0.5187493910344783
Trial 59, Params: {'learning_rate': 0.09911609631845339, 'depth': 6, 'colsample_bylevel': 0.546430883599303, 'min_data_in_leaf': 92, 'l2_leaf_reg': 1.0011572256543395, 'grow_policy': 'SymmetricTree'}, Value: 0.6853298567935182
Trial 60, Params: {'learning_rate': 0.01273948567225924, 'depth': 5, 'colsample_bylevel': 0.48521254194136254, 'min_data_in_leaf': 83, 'l2_leaf_reg': 1.4463678688482542, 'grow_policy': 'SymmetricTree'}, Value: 0.3562350415599882
Trial 61, Params: {'learning_rate': 0.08641106653615535, 'depth': 6, 'colsample_bylevel': 0.5270826874395537, 'min_data_in_leaf': 93, 'l2_leaf_reg': 1.0202645437611693, 'grow_policy': 'SymmetricTree'}, Value: 0.6648735525026749
Trial 62, Params: {'learning_rate': 0.09872024225076158, 'depth': 6, 'colsample_bylevel': 0.5701373536333133, 'min_data_in_leaf': 93, 'l2_leaf_reg': 1.254516662939799, 'grow_policy': 'SymmetricTree'}, Value: 0.6887500040357739
Trial 63, Params: {'learning_rate': 0.06984271568059122, 'depth': 5, 'colsample_bylevel': 0.5611871003010537, 'min_data_in_leaf': 81, 'l2_leaf_reg': 1.2312295789102348, 'grow_policy': 'SymmetricTree'}, Value: 0.5993303288060533
Trial 64, Params: {'learning_rate': 0.06151348677980123, 'depth': 6, 'colsample_bylevel': 0.4486620794798408, 'min_data_in_leaf': 93, 'l2_leaf_reg': 1.1547753553885323, 'grow_policy': 'SymmetricTree'}, Value: 0.6044953093203222
Trial 65, Params: {'learning_rate': 0.005734850599312615, 'depth': 9, 'colsample_bylevel': 0.3972852745706351, 'min_data_in_leaf': 60, 'l2_leaf_reg': 1.4288249317035038, 'grow_policy': 'SymmetricTree'}, Value: 0.2974987460150528
Trial 66, Params: {'learning_rate': 0.08436685962806226, 'depth': 8, 'colsample_bylevel': 0.5499838855891293, 'min_data_in_leaf': 67, 'l2_leaf_reg': 1.76142715310001, 'grow_policy': 'SymmetricTree'}, Value: 0.677574194235205
Trial 67, Params: {'learning_rate': 0.05207874277302715, 'depth': 9, 'colsample_bylevel': 0.5022000067050855, 'min_data_in_leaf': 90, 'l2_leaf_reg': 1.2640390435819713, 'grow_policy': 'SymmetricTree'}, Value: 0.6070731976419713
Trial 68, Params: {'learning_rate': 0.07277648656395246, 'depth': 7, 'colsample_bylevel': 0.6275407913682518, 'min_data_in_leaf': 58, 'l2_leaf_reg': 1.1413464973718026, 'grow_policy': 'SymmetricTree'}, Value: 0.6539179855159855
Trial 69, Params: {'learning_rate': 0.08555438053171198, 'depth': 10, 'colsample_bylevel': 0.5787951754134758, 'min_data_in_leaf': 62, 'l2_leaf_reg': 1.5371589678533875, 'grow_policy': 'SymmetricTree'}, Value: 0.6497670830257715
Trial 70, Params: {'learning_rate': 0.09945124300177191, 'depth': 10, 'colsample_bylevel': 0.5319936042219428, 'min_data_in_leaf': 70, 'l2_leaf_reg': 4.771119406690335, 'grow_policy': 'Depthwise'}, Value: 0.7110649783795097
Trial 71, Params: {'learning_rate': 0.09777127351919346, 'depth': 10, 'colsample_bylevel': 0.5003208144350814, 'min_data_in_leaf': 71, 'l2_leaf_reg': 4.646057151634577, 'grow_policy': 'Depthwise'}, Value: 0.7100791489122845
Trial 72, Params: {'learning_rate': 0.09970575199015232, 'depth': 10, 'colsample_bylevel': 0.5007858706915704, 'min_data_in_leaf': 70, 'l2_leaf_reg': 4.748809919533888, 'grow_policy': 'Depthwise'}, Value: 0.7049118140362766
Trial 73, Params: {'learning_rate': 0.06126224937165493, 'depth': 10, 'colsample_bylevel': 0.38554550560181844, 'min_data_in_leaf': 69, 'l2_leaf_reg': 4.508424379695426, 'grow_policy': 'Depthwise'}, Value: 0.6405792255083338
Trial 74, Params: {'learning_rate': 0.08351637871066889, 'depth': 10, 'colsample_bylevel': 0.49347317001520075, 'min_data_in_leaf': 71, 'l2_leaf_reg': 5.695225150577152, 'grow_policy': 'Depthwise'}, Value: 0.6892423290916926
Trial 75, Params: {'learning_rate': 0.08297325303184536, 'depth': 10, 'colsample_bylevel': 0.46936877428652624, 'min_data_in_leaf': 76, 'l2_leaf_reg': 5.485790228559906, 'grow_policy': 'Depthwise'}, Value: 0.6826354280483505
Trial 76, Params: {'learning_rate': 0.0024394517585068845, 'depth': 10, 'colsample_bylevel': 0.43819182699306974, 'min_data_in_leaf': 70, 'l2_leaf_reg': 4.0183281535746955, 'grow_policy': 'Depthwise'}, Value: 0.15178286842732952
Trial 77, Params: {'learning_rate': 0.07247221706620463, 'depth': 10, 'colsample_bylevel': 0.5031805278160252, 'min_data_in_leaf': 74, 'l2_leaf_reg': 6.1132588614440575, 'grow_policy': 'Depthwise'}, Value: 0.662094503188159
Trial 78, Params: {'learning_rate': 0.06609278794008934, 'depth': 10, 'colsample_bylevel': 0.5018191102445293, 'min_data_in_leaf': 64, 'l2_leaf_reg': 4.6860329085195085, 'grow_policy': 'Depthwise'}, Value: 0.6566299369641013
Trial 79, Params: {'learning_rate': 0.08595859665679383, 'depth': 10, 'colsample_bylevel': 0.2783199562040023, 'min_data_in_leaf': 80, 'l2_leaf_reg': 6.692470876105149, 'grow_policy': 'Depthwise'}, Value: 0.664461667544362
Trial 80, Params: {'learning_rate': 0.046230277039378084, 'depth': 10, 'colsample_bylevel': 0.8137721932143227, 'min_data_in_leaf': 73, 'l2_leaf_reg': 4.0416893524040045, 'grow_policy': 'Depthwise'}, Value: 0.6187357991123493
Trial 81, Params: {'learning_rate': 0.0991783411814007, 'depth': 10, 'colsample_bylevel': 0.4818375153186044, 'min_data_in_leaf': 56, 'l2_leaf_reg': 5.603011214349821, 'grow_policy': 'Depthwise'}, Value: 0.7052119513080192
Trial 82, Params: {'learning_rate': 0.0744438806807825, 'depth': 10, 'colsample_bylevel': 0.3602585801834536, 'min_data_in_leaf': 55, 'l2_leaf_reg': 5.768038264071459, 'grow_policy': 'Depthwise'}, Value: 0.6585830235518163
Trial 83, Params: {'learning_rate': 0.08780561046363489, 'depth': 10, 'colsample_bylevel': 0.46787208038891304, 'min_data_in_leaf': 61, 'l2_leaf_reg': 7.767165648352165, 'grow_policy': 'Depthwise'}, Value: 0.688289521146774
Trial 84, Params: {'learning_rate': 0.05647595898011592, 'depth': 9, 'colsample_bylevel': 0.41472055136212865, 'min_data_in_leaf': 68, 'l2_leaf_reg': 3.3167686784129184, 'grow_policy': 'Depthwise'}, Value: 0.6238203549054456
Trial 85, Params: {'learning_rate': 0.09988289552713032, 'depth': 10, 'colsample_bylevel': 0.5193262910719731, 'min_data_in_leaf': 52, 'l2_leaf_reg': 5.145094079691165, 'grow_policy': 'Depthwise'}, Value: 0.7031089549459363
Trial 86, Params: {'learning_rate': 0.09056949657371266, 'depth': 9, 'colsample_bylevel': 0.5326667467403863, 'min_data_in_leaf': 49, 'l2_leaf_reg': 4.938444559283861, 'grow_policy': 'Depthwise'}, Value: 0.6928138885175328
Trial 87, Params: {'learning_rate': 0.06331824624267937, 'depth': 10, 'colsample_bylevel': 0.6046801159844077, 'min_data_in_leaf': 53, 'l2_leaf_reg': 4.166833256380012, 'grow_policy': 'Depthwise'}, Value: 0.6597117927897098
Trial 88, Params: {'learning_rate': 0.09968052359305653, 'depth': 9, 'colsample_bylevel': 0.5184218643924913, 'min_data_in_leaf': 57, 'l2_leaf_reg': 3.632238947928373, 'grow_policy': 'Depthwise'}, Value: 0.7083907888312566
Trial 89, Params: {'learning_rate': 0.07319908101744674, 'depth': 9, 'colsample_bylevel': 0.668343953556031, 'min_data_in_leaf': 47, 'l2_leaf_reg': 5.22341096289326, 'grow_policy': 'Depthwise'}, Value: 0.6706870685094628
Trial 90, Params: {'learning_rate': 0.035484706956375386, 'depth': 9, 'colsample_bylevel': 0.967101771480903, 'min_data_in_leaf': 57, 'l2_leaf_reg': 3.702764564113284, 'grow_policy': 'Depthwise'}, Value: 0.5766117201327328
Trial 91, Params: {'learning_rate': 0.09917730984269238, 'depth': 9, 'colsample_bylevel': 0.46437576680008585, 'min_data_in_leaf': 51, 'l2_leaf_reg': 6.5308291120603945, 'grow_policy': 'Depthwise'}, Value: 0.6962252781442514
Trial 92, Params: {'learning_rate': 0.09048303890128896, 'depth': 10, 'colsample_bylevel': 0.5282287824473537, 'min_data_in_leaf': 65, 'l2_leaf_reg': 7.463320491790959, 'grow_policy': 'Depthwise'}, Value: 0.6887948424260775
Trial 93, Params: {'learning_rate': 0.0786542671900923, 'depth': 10, 'colsample_bylevel': 0.3850928838674426, 'min_data_in_leaf': 42, 'l2_leaf_reg': 4.331327462368027, 'grow_policy': 'Depthwise'}, Value: 0.6690249100584641
Trial 94, Params: {'learning_rate': 0.08994047305507737, 'depth': 9, 'colsample_bylevel': 0.4374161038903659, 'min_data_in_leaf': 59, 'l2_leaf_reg': 4.903717841965199, 'grow_policy': 'Depthwise'}, Value: 0.6843359574642566
Trial 95, Params: {'learning_rate': 0.06650973712945508, 'depth': 10, 'colsample_bylevel': 0.5101797122698296, 'min_data_in_leaf': 62, 'l2_leaf_reg': 3.631869764362641, 'grow_policy': 'Depthwise'}, Value: 0.6564957177022249
Trial 96, Params: {'learning_rate': 0.077660741616917, 'depth': 9, 'colsample_bylevel': 0.48082221854538604, 'min_data_in_leaf': 54, 'l2_leaf_reg': 6.175948850980983, 'grow_policy': 'Depthwise'}, Value: 0.6697698940125718
